date;holidayname;subcountry
2061-12-25;Erster Weihnachtstag;BY
2061-12-26;Zweiter Weihnachtstag;BY
2061-01-06;Heilige Drei Könige;BY
2061-06-09;Fronleichnam;BY
2061-11-01;Allerheiligen;BY
2062-01-01;Neujahr;BY
2062-03-24;Karfreitag;BY
2062-03-27;Ostermontag;BY
2062-05-01;Erster Mai;BY
2062-05-04;Christi Himmelfahrt;BY
2062-05-15;Pfingstmontag;BY
2062-10-03;Tag der Deutschen Einheit;BY
2062-12-25;Erster Weihnachtstag;BY
2062-12-26;Zweiter Weihnachtstag;BY
2062-01-06;Heilige Drei Könige;BY
2062-05-25;Fronleichnam;BY
2062-11-01;Allerheiligen;BY
2063-01-01;Neujahr;BY
2063-04-13;Karfreitag;BY
2063-04-16;Ostermontag;BY
2063-05-01;Erster Mai;BY
2063-05-24;Christi Himmelfahrt;BY
2063-06-04;Pfingstmontag;BY
2063-10-03;Tag der Deutschen Einheit;BY
2063-12-25;Erster Weihnachtstag;BY
2063-12-26;Zweiter Weihnachtstag;BY
2063-01-06;Heilige Drei Könige;BY
2063-06-14;Fronleichnam;BY
2063-11-01;Allerheiligen;BY
2064-01-01;Neujahr;BY
2064-04-04;Karfreitag;BY
2064-04-07;Ostermontag;BY
2064-05-01;Erster Mai;BY
2064-05-15;Christi Himmelfahrt;BY
2064-05-26;Pfingstmontag;BY
2064-10-03;Tag der Deutschen Einheit;BY
2064-12-25;Erster Weihnachtstag;BY
2064-12-26;Zweiter Weihnachtstag;BY
2064-01-06;Heilige Drei Könige;BY
2064-06-05;Fronleichnam;BY
2064-11-01;Allerheiligen;BY
2065-01-01;Neujahr;BY
2065-03-27;Karfreitag;BY
2065-03-30;Ostermontag;BY
2065-05-01;Erster Mai;BY
2065-05-07;Christi Himmelfahrt;BY
2065-05-18;Pfingstmontag;BY
2065-10-03;Tag der Deutschen Einheit;BY
2065-12-25;Erster Weihnachtstag;BY
2065-12-26;Zweiter Weihnachtstag;BY
2065-01-06;Heilige Drei Könige;BY
2065-05-28;Fronleichnam;BY
2065-11-01;Allerheiligen;BY
2066-01-01;Neujahr;BY
2066-04-09;Karfreitag;BY
2066-04-12;Ostermontag;BY
2066-05-01;Erster Mai;BY
2066-05-20;Christi Himmelfahrt;BY
2066-05-31;Pfingstmontag;BY
2066-10-03;Tag der Deutschen Einheit;BY
2066-12-25;Erster Weihnachtstag;BY
2066-12-26;Zweiter Weihnachtstag;BY
2066-01-06;Heilige Drei Könige;BY
2066-06-10;Fronleichnam;BY
2066-11-01;Allerheiligen;BY
2067-01-01;Neujahr;BY
2067-04-01;Karfreitag;BY
2067-04-04;Ostermontag;BY
2067-05-01;Erster Mai;BY
2067-05-12;Christi Himmelfahrt;BY
2067-05-23;Pfingstmontag;BY
2067-10-03;Tag der Deutschen Einheit;BY
2067-12-25;Erster Weihnachtstag;BY
2067-12-26;Zweiter Weihnachtstag;BY
2067-01-06;Heilige Drei Könige;BY
2067-06-02;Fronleichnam;BY
2067-11-01;Allerheiligen;BY
2068-01-01;Neujahr;BY
2068-04-20;Karfreitag;BY
2068-04-23;Ostermontag;BY
2068-05-01;Erster Mai;BY
2068-05-31;Christi Himmelfahrt;BY
2068-06-11;Pfingstmontag;BY
2068-10-03;Tag der Deutschen Einheit;BY
2068-12-25;Erster Weihnachtstag;BY
2068-12-26;Zweiter Weihnachtstag;BY
2068-01-06;Heilige Drei Könige;BY
2068-06-21;Fronleichnam;BY
2068-11-01;Allerheiligen;BY
2069-01-01;Neujahr;BY
2069-04-12;Karfreitag;BY
2069-04-15;Ostermontag;BY
2069-05-01;Erster Mai;BY
2069-05-23;Christi Himmelfahrt;BY
2069-06-03;Pfingstmontag;BY
2069-10-03;Tag der Deutschen Einheit;BY
2069-12-25;Erster Weihnachtstag;BY
2069-12-26;Zweiter Weihnachtstag;BY
2069-01-06;Heilige Drei Könige;BY
2069-06-13;Fronleichnam;BY
2069-11-01;Allerheiligen;BY
2070-01-01;Neujahr;BY
2070-03-28;Karfreitag;BY
2070-03-31;Ostermontag;BY
2070-05-01;Erster Mai;BY
2070-05-08;Christi Himmelfahrt;BY
2070-05-19;Pfingstmontag;BY
2070-10-03;Tag der Deutschen Einheit;BY
2070-12-25;Erster Weihnachtstag;BY
2070-12-26;Zweiter Weihnachtstag;BY
2070-01-06;Heilige Drei Könige;BY
2070-05-29;Fronleichnam;BY
2070-11-01;Allerheiligen;BY
2071-01-01;Neujahr;BY
2071-04-17;Karfreitag;BY
2071-04-20;Ostermontag;BY
2071-05-01;Erster Mai;BY
2071-05-28;Christi Himmelfahrt;BY
2071-06-08;Pfingstmontag;BY
2071-10-03;Tag der Deutschen Einheit;BY
2071-12-25;Erster Weihnachtstag;BY
2071-12-26;Zweiter Weihnachtstag;BY
2071-01-06;Heilige Drei Könige;BY
2071-06-18;Fronleichnam;BY
2071-11-01;Allerheiligen;BY
2072-01-01;Neujahr;BY
2072-04-08;Karfreitag;BY
2072-04-11;Ostermontag;BY
2072-05-01;Erster Mai;BY
2072-05-19;Christi Himmelfahrt;BY
2072-05-30;Pfingstmontag;BY
2072-10-03;Tag der Deutschen Einheit;BY
2072-12-25;Erster Weihnachtstag;BY
2072-12-26;Zweiter Weihnachtstag;BY
2072-01-06;Heilige Drei Könige;BY
2072-06-09;Fronleichnam;BY
2072-11-01;Allerheiligen;BY
2073-01-01;Neujahr;BY
2073-03-24;Karfreitag;BY
2073-03-27;Ostermontag;BY
2073-05-01;Erster Mai;BY
2073-05-04;Christi Himmelfahrt;BY
2073-05-15;Pfingstmontag;BY
2073-10-03;Tag der Deutschen Einheit;BY
2073-12-25;Erster Weihnachtstag;BY
2073-12-26;Zweiter Weihnachtstag;BY
2073-01-06;Heilige Drei Könige;BY
2073-05-25;Fronleichnam;BY
2073-11-01;Allerheiligen;BY
2074-01-01;Neujahr;BY
2074-04-13;Karfreitag;BY
2074-04-16;Ostermontag;BY
2074-05-01;Erster Mai;BY
2074-05-24;Christi Himmelfahrt;BY
2074-06-04;Pfingstmontag;BY
2074-10-03;Tag der Deutschen Einheit;BY
2074-12-25;Erster Weihnachtstag;BY
2074-12-26;Zweiter Weihnachtstag;BY
2074-01-06;Heilige Drei Könige;BY
2074-06-14;Fronleichnam;BY
2074-11-01;Allerheiligen;BY
2075-01-01;Neujahr;BY
2075-04-05;Karfreitag;BY
2075-04-08;Ostermontag;BY
2075-05-01;Erster Mai;BY
2075-05-16;Christi Himmelfahrt;BY
2075-05-27;Pfingstmontag;BY
2075-10-03;Tag der Deutschen Einheit;BY
2075-12-25;Erster Weihnachtstag;BY
2075-12-26;Zweiter Weihnachtstag;BY
2075-01-06;Heilige Drei Könige;BY
2075-06-06;Fronleichnam;BY
2075-11-01;Allerheiligen;BY
2076-01-01;Neujahr;BY
2076-04-17;Karfreitag;BY
2076-04-20;Ostermontag;BY
2076-05-01;Erster Mai;BY
2076-05-28;Christi Himmelfahrt;BY
2076-06-08;Pfingstmontag;BY
2076-10-03;Tag der Deutschen Einheit;BY
2076-12-25;Erster Weihnachtstag;BY
2076-12-26;Zweiter Weihnachtstag;BY
2076-01-06;Heilige Drei Könige;BY
2076-06-18;Fronleichnam;BY
2076-11-01;Allerheiligen;BY
2077-01-01;Neujahr;BY
2077-04-09;Karfreitag;BY
2077-04-12;Ostermontag;BY
2077-05-01;Erster Mai;BY
2077-05-20;Christi Himmelfahrt;BY
2077-05-31;Pfingstmontag;BY
2077-10-03;Tag der Deutschen Einheit;BY
2077-12-25;Erster Weihnachtstag;BY
2077-12-26;Zweiter Weihnachtstag;BY
2077-01-06;Heilige Drei Könige;BY
2077-06-10;Fronleichnam;BY
2077-11-01;Allerheiligen;BY
2078-01-01;Neujahr;BY
2078-04-01;Karfreitag;BY
2078-04-04;Ostermontag;BY
2078-05-01;Erster Mai;BY
2078-05-12;Christi Himmelfahrt;BY
2078-05-23;Pfingstmontag;BY
2078-10-03;Tag der Deutschen Einheit;BY
2078-12-25;Erster Weihnachtstag;BY
2078-12-26;Zweiter Weihnachtstag;BY
2078-01-06;Heilige Drei Könige;BY
2078-06-02;Fronleichnam;BY
2078-11-01;Allerheiligen;BY
2079-01-01;Neujahr;BY
2079-04-21;Karfreitag;BY
2079-04-24;Ostermontag;BY
2079-05-01;Erster Mai;BY
2079-06-01;Christi Himmelfahrt;BY
2079-06-12;Pfingstmontag;BY
2079-10-03;Tag der Deutschen Einheit;BY
2079-12-25;Erster Weihnachtstag;BY
2079-12-26;Zweiter Weihnachtstag;BY
2079-01-06;Heilige Drei Könige;BY
2079-06-22;Fronleichnam;BY
2079-11-01;Allerheiligen;BY
2080-01-01;Neujahr;BY
2080-04-05;Karfreitag;BY
2080-04-08;Ostermontag;BY
2080-05-01;Erster Mai;BY
2080-05-16;Christi Himmelfahrt;BY
2080-05-27;Pfingstmontag;BY
2080-10-03;Tag der Deutschen Einheit;BY
2080-12-25;Erster Weihnachtstag;BY
2080-12-26;Zweiter Weihnachtstag;BY
2080-01-06;Heilige Drei Könige;BY
2080-06-06;Fronleichnam;BY
2080-11-01;Allerheiligen;BY
2081-01-01;Neujahr;BY
2081-03-28;Karfreitag;BY
2081-03-31;Ostermontag;BY
2081-05-01;Erster Mai;BY
2081-05-08;Christi Himmelfahrt;BY
2081-05-19;Pfingstmontag;BY
2081-10-03;Tag der Deutschen Einheit;BY
2081-12-25;Erster Weihnachtstag;BY
2081-12-26;Zweiter Weihnachtstag;BY
2081-01-06;Heilige Drei Könige;BY
2081-05-29;Fronleichnam;BY
2081-11-01;Allerheiligen;BY
2082-01-01;Neujahr;BY
2082-04-17;Karfreitag;BY
2082-04-20;Ostermontag;BY
2082-05-01;Erster Mai;BY
2082-05-28;Christi Himmelfahrt;BY
2082-06-08;Pfingstmontag;BY
2082-10-03;Tag der Deutschen Einheit;BY
2082-12-25;Erster Weihnachtstag;BY
2082-12-26;Zweiter Weihnachtstag;BY
2082-01-06;Heilige Drei Könige;BY
2082-06-18;Fronleichnam;BY
2082-11-01;Allerheiligen;BY
2083-01-01;Neujahr;BY
2083-04-02;Karfreitag;BY
2083-04-05;Ostermontag;BY
2083-05-01;Erster Mai;BY
2083-05-13;Christi Himmelfahrt;BY
2083-05-24;Pfingstmontag;BY
2083-10-03;Tag der Deutschen Einheit;BY
2083-12-25;Erster Weihnachtstag;BY
2083-12-26;Zweiter Weihnachtstag;BY
2083-01-06;Heilige Drei Könige;BY
2083-06-03;Fronleichnam;BY
2083-11-01;Allerheiligen;BY
2084-01-01;Neujahr;BY
2084-03-24;Karfreitag;BY
2084-03-27;Ostermontag;BY
2084-05-01;Erster Mai;BY
2084-05-04;Christi Himmelfahrt;BY
2084-05-15;Pfingstmontag;BY
2084-10-03;Tag der Deutschen Einheit;BY
2084-12-25;Erster Weihnachtstag;BY
2084-12-26;Zweiter Weihnachtstag;BY
2084-01-06;Heilige Drei Könige;BY
2084-05-25;Fronleichnam;BY
2084-11-01;Allerheiligen;BY
2085-01-01;Neujahr;BY
